# Data from Clarivate Analytics' Web of Science, retrieved 5 December 2018
# This file generated on 2018-12-12 14:21:07
item,id,year,title,AU,SO,DE
62,WOS:000294218900275,2011,Techno-Economic Assessment and Risk Analysis of Biorefinery Processes,"Hytoenen, Eemeli|Stuart, Paul|Pistikopoulos, EN|Georgiadis, MC|Kokossis, AC",21ST EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING,biorefinery|process design|techno-economic analysis|risk analysis
63,WOS:000410014300006,2017,Solving a bi-objective unrelated parallel batch processing machines scheduling problem: A comparison study,"Shahidi-Zadeh, B.|Tavakkoli-Moghaddam, R.|Taheri-Moghadam, A.|Rastgar, I.",COMPUTERS & OPERATIONS RESEARCH,production scheduling|unrelated parallel batch processors|epsilon-constraint method|multi-objective harmony search|sensitivity analysis
64,WOS:000357968900052,2015,Sensitivity and uncertainty analysis of the Variable Infiltration Capacity model in the upstream of Heihe River basin,"He, Rui|Pang, Bo|Chen, Y|Neale, C|Cluckie, |Su, Z|Zhou, J|Huang, Q|Xu, Z",REMOTE SENSING AND GIS FOR HYDROLOGY AND WATER RESOURCES,vic model|heihe|glue|uncertainty analyses|runoff simulation
65,WOS:000297163600082,2010,CONTAMINATION OF DRINKING WATER SUPPLY WELLS BY PESTICIDES FROM SURFACE WATER RESOURCES,"Malaguerra, Flavio|Albrechtsen, Hans-Jorgen|Binning, Philip J.|Carrera, J|SanchezVila, |FernandezGarcia, D|Bolster, D",PROCEEDINGS OF THE XVIII INTERNATIONAL CONFERENCE ON COMPUTATIONAL METHODS IN WATER RESOURCES (CMWR 2010),pesticides|surface water|drinking water|sensitivity analysis|groundwater model
66,WOS:000371033600010,2016,Assessing Omitted Confounder Bias in Multilevel Mediation Models,"Tofighi, Davood|Kelley, Ken",MULTIVARIATE BEHAVIORAL RESEARCH,sensitivity analysis|mediation analysis|bias|omitted variable|confounder
67,WOS:000383676200002,2015,When is a Decision-Making Method Trustworthy? Criteria for Evaluating Multi-Criteria Decision-Making Methods,"Saaty, Thomas L.|Ergu, Daji",INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,multi-criteria decision-making methods|conflicting criteria|decision problems|evaluation
68,WOS:000275289600001,2010,Development of a fuzzy-stochastic nonlinear model to incorporate aleatoric and epistemic uncertainty,"Li, Hua|Zhang, Kejiang",JOURNAL OF CONTAMINANT HYDROLOGY,groundwater flow|contaminant transport|nonlinear model|uncertainty propagation|fuzzy sets
69,WOS:000294218900269,2011,Methodological Approach for Modeling of multi-enzyme in-pot processes,"Santacoloma, Paloma A.|Roman-Martinez, Alicia|Sin, Gurkan|Gernaey, Krist V.|Woodley, John M.|Pistikopoulos, EN|Georgiadis, MC|Kokossis, AC",21ST EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING,multi-enzyme in-pot|neu5ac production|mathematical model
70,WOS:000218920900012,2015,Lessons for model use in transition research: A survey and comparison with other research areas,"Halbe, J.|Reusser, D. E.|Holtz, G.|Haasnoot, M.|Stosius, A.|Avenhaus, W.|Kwakkel, H.",ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS,model design|model uses|model validation|modeling protocols|transition modelinga
71,WOS:000377046700010,2016,Mitigation of the cogging torque and loss minimization in a permanent magnet machine using shape and topology optimization,"Putek, Piotr Adam",ENGINEERING COMPUTATIONS,permanent magnet machine|cogging torque|back-emf|electromagnetic losses|level set method|topology derivative|shape and topology optimization
72,WOS:000386425100003,2016,Climate change impact on water resources availability: case study of the Llobregat River basin (Spain),"Versini, P. -A.|Pouget, L.|McEnnis, S.|Custodio, E.|Escaler, I.",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,climate change|water management|hydrological model|uncertainty
73,WOS:000330743000017,2014,Streamflow sensitivity analysis to climate change for a large water-limited basin,"Liang, Liqiao|Liu, Qiang",HYDROLOGICAL PROCESSES,potential evaporation|budyko framework|watershed characteristics|vegetation|yellow river basin
74,WOS:000397656100001,2017,Regional surface soil heat flux estimate from multiple remote sensing data in a temperate and semiarid basin,"Li, Nana|Jia, Li|Lu, Jing|Menenti, Massimo|Zhou, Jie",JOURNAL OF APPLIED REMOTE SENSING,harmonic analysis model|regional soil heat flux|thermal inertia|remote sensing data|arid and semiarid area
75,WOS:000366675600004,2016,The valuation of GMWB variable annuities under alternative fund distributions and policyholder behaviours,"Bacinello, Anna Rita|Millossovich, Pietro|Montealegre, Alvaro",SCANDINAVIAN ACTUARIAL JOURNAL,variable annuities|gmwb|dynamic approach|levy processes|policyholder's behaviour
76,WOS:000390568700003,2017,Efficient computation of operator-type response sensitivities for uncertainty quantification and predictive modeling: illustrative application to a spent nuclear fuel dissolver model,"Cacuci, Dan G.|Badea, Aurelian F.|Badea, Madalina C.|Peltz, James J.",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,asam (adjoint sensitivity analysis methodology) for operator-valued responses|best-estimate predicted model responses and parameters|reducing predicted uncertainties|uncertainty quantification|data assimilation|and model calibration
77,WOS:000374681300002,2016,STEAM GASIFICATION OF OAT WITH CONVERSION OF TARS ON CLAY CATALYST AND GAS CLEANING BY CONDENSATION OF STEAM,"Zablocka-Malicka, Monika|Szczepaniak, Wlodzimierz|Zielinska, Amelia|Rutkowski, Piotr",ECOLOGICAL CHEMISTRY AND ENGINEERING S-CHEMIA I INZYNIERIA EKOLOGICZNA S,biomass|oat|steam gasification|tar elimination|tar
78,WOS:000381986800005,2016,Modeling the hydromechanical responses of sandwich structure faults during underground fluid injection,"Wei, Xiaochen|Li, Qi|Li, Xiaying|Niu, Zhiyong",ENVIRONMENTAL EARTH SCIENCES,co2 geological storage|pore pressure change|fault slippage|induced seismicity|uncertainty analysis|subsurface injection
79,WOS:000424996500003,2017,Methodological approach for the estimation of recoverable LNAPL volumes in aquifer and for the analysis of residual phase behaviour in laboratory,"Frollini, Eleonora",ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER,lnapl|free phase volume|dissolution column test|risk assessment
80,WOS:000346654600020,2014,Probabilistic collocation method for strongly nonlinear problems: 2. Transform by displacement,"Liao, Qinzhuo|Zhang, Dongxiao",WATER RESOURCES RESEARCH,
81,WOS:000311796000008,2012,"Regression Analysis of the Relationship between Urban Heat Island Effect and Urban Canopy Characteristics in a Mountainous City, Chongqing","Lu, Jun|Li, Chundie|Yu, Chuck|Jin, Ming|Dong, Shaowei",INDOOR AND BUILT ENVIRONMENT,mountainous cities|urban development|heat island|canopy characteristics|impermeable rate|building density|linear regression
82,WOS:000295261300001,2011,Long-term controls on ocean phosphorus and oxygen in a global biogeochemical model,"Palastanga, V.|Slomp, C. P.|Heinze, C.",GLOBAL BIOGEOCHEMICAL CYCLES,
83,WOS:000337570800004,2014,Simulation optimization of a multi-stage multi-product paint shop line with Response Surface Methodology,"Dengiz, Berna|Belgin, Onder",SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,simulation optimization|response surface methodology|sensitivity analysis|paint shop line
84,WOS:000298299703037,2011,Combining bioenergy and CO2 capture from gas fired power plant,"Mathisen, Anette|Hegerland, Georg|Eldrup, Nils Henrik|Skagestad, Ragnhild|Haugen, Hans Aksel|Gale, J|Hendriks, C|Turkenberg, W",10TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES,co2 capture|bioenergy|ngcc
