,AU,SO,copyright,title,year
79,"Elfverson, D|Hellman, F|Malqvist, A",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,A Multilevel Monte Carlo Method for Computing Failure Probabilities,2016
80,"Zhao, FJ|Liang, JM|Chen, XL|Liu, JT|Chen, DM|Yang, X|Tian, J",MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,,Quantitative analysis of vascular parameters for micro-CT imaging of vascular networks with multi-resolution,2016
81,"Liu, YR|Li, YP|Huang, GH|Zhang, JL|Fan, YR",JOURNAL OF HYDROLOGY, (C) 2017 Elsevier B.V. All rights reserved.,A Bayesian-based multilevel factorial analysis method for analyzing parameter uncertainty of hydrological model,2017
82,"Girotto, E|Ceretta, CA|Brunetto, G|Miotto, A|Tiecher, TL|De Conti, L|Lourenzi, CR|Lorensini, F|Gubiani, PI|da Silva, LS|Nicoloso, FT",ENVIRONMENTAL MONITORING AND ASSESSMENT,,Copper availability assessment of Cu-contaminated vineyard soils using black oat cultivation and chemical extractants,2014
83,"Liu, P|Luo, YJ|Kang, Z",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2016 Elsevier B.V. All rights reserved.,Multi-material topology optimization considering interface behavior via XFEM and level set method,2016
84,"Fitamo, D|Leta, S|Belay, G|Lemma, B|Olsson, M",SOIL & SEDIMENT CONTAMINATION,,"Phytoavailability of Heavy Metals and Metalloids in Soils Irrigated with Wastewater, Akaki, Ethiopia: A Greenhouse Study",2011
85,"Coffin, P|Maute, K",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,A level-set method for steady-state and transient natural convection problems,2016
86,"Pulido-Calvo, I|Gutierrez-Estrada, JC|Savic, D",WATER RESOURCES MANAGEMENT,,"Heuristic Modelling of the Water Resources Management in the Guadalquivir River Basin, Southern Spain",2012
87,"Hampel, R|Peters, A|Beelen, R|Brunekreef, B|Cyrys, J|de Faire, U|de Hoogh, K|Fuks, K|Hoffmann, B|Huls, A|Imboden, M|Jedynska, A|Kooter, I|Koenig, W|Kunzli, N|Leander, K|Magnusson, P|Mannisto, S|Penell, J|Pershagen, G|Phuleria, H|Probst-Hensch, N|Pundt, N|Schaffner, E|Schikowski, T|Sugiri, D|Tiittanen, P|Tsai, MY|Wang, M|Wolf, K|Lanki, T",ENVIRONMENT INTERNATIONAL, Elsevier Ltd. All rights reserved.,Long-term effects of elemental composition of particulate matter on inflammatory blood markers in European cohorts,2015
88,"Shen, ZY|Chen, L|Hong, Q|Qiu, JL|Xie, H|Liu, RM",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2013 Elsevier B.V. All rights reserved.,Assessment of nitrogen and phosphorus loads and causal factors from different land use and soil types in the Three Gorges Reservoir Area,2013
89,"Shi, L|Huang, WQ",PROCESS SAFETY AND ENVIRONMENTAL PROTECTION, Published by Elsevier B.V. All rights reserved.,Sensitivity analysis and optimization for gasoline vapor condensation recovery,2014
90,"Gaudio, R|Tafarojnoruz, A|De Bartolo, S",JOURNAL OF HYDROINFORMATICS,,Sensitivity analysis of bridge pier scour depth predictive formulae,2013
91,"Li, Y|Liu, ZR",INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,,Dynamical Analysis of bantam-Regulated Drosophila Circadian Rhythm Model,2014
92,"Schoups, G|Vrugt, JA",WATER RESOURCES RESEARCH,,"A formal likelihood function for parameter and predictive inference of hydrologic models with correlated, heteroscedastic, and non-Gaussian errors",2010
93,"Niska, H|Rantamaki, M|Hiltunen, T|Karppinen, A|Kukkonen, J|Ruuskanen, J|Kolehmainen, M",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Evaluation of an integrated modelling system containing a multi-layer perceptron model and the numerical weather prediction model HIRLAM for the forecasting of urban airborne pollutant concentrations,2005
94,"Kannan, N|White, SM|Worrall, F|Whelan, MJ",JOURNAL OF HYDROLOGY, (c) 2006 Elsevier B.V. All rights reserved.,Sensitivity analysis and identification of the best evapotranspiration and runoff options for hydrological modelling in SWAT-2000,2007
95,"Tang, Y|Reed, P|van Werkhoven, K|Wagener, T",WATER RESOURCES RESEARCH,,Advancing the identification and evaluation of distributed rainfall-runoff models using global sensitivity analysis,2007
96,"Arnold, F|Pirjola, L|Ronkko, T|Reichl, U|Schlager, H|Lahde, T|Heikkila, J|Keskinen, J",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,First Online Measurements of Sulfuric Acid Gas in Modern Heavy-Duty Diesel Engine Exhaust: Implications for Nanoparticle Formation,2012
97,"Liao, KJ|Tagaris, E|Napelenok, SL|Manomaiphiboon, K|Woo, JH|Amar, P|He, S|Russell, AG",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Current and future linked responses of ozone and PM(2.5) to emission controls,2008
98,"Jones, S",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Measuring what's missing: practical estimates of coverage for stochastic simulations,2016
99,"Snyder, EM|Snyder, SA|Giesy, JP|Blonde, SA|Hurlburt, GK|Summer, CL|Mitchell, RR|Bush, DM",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,,"SCRAM: A scoring and ranking system for persistent, bioaccumulative, and toxic substances for the North American Great Lakes Part IV. Results from representative chemicals, sensitivity analysis, and discriminatory power",2000
100,"Zhu, JT|Young, MH",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,,Sensitivity and Uncertainty of Ground-Water Discharge Estimates for Semiarid Shrublands,2009
101,"Raymond, S|Mailhot, A|Talbot, G|Gagnon, P|Rousseau, AN|Moatar, F",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,,LOAD ESTIMATION METHOD USING DISTRIBUTIONS WITH COVARIATES: A COMPARISON WITH COMMONLY USED ESTIMATION METHODS,2014
102,"Nicolsky, DJ|Romanovsky, VE|Tipenko, GS|Walker, DA",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,,Modeling biogeophysical interactions in nonsorted circles in the Low Arctic,2008
103,"Gu, Q|Yang, ZH|Peng, Y",COLD REGIONS SCIENCE AND TECHNOLOGY, (C) 2015 Elsevier B.V. All rights reserved.,Parameters affecting laterally loaded piles in frozen soils by an efficient sensitivity analysis method,2016
104,"Choi, NC|Choi, JW|Kim, SB|Park, SJ|Kim, DJ",ENVIRONMENTAL TECHNOLOGY,,Two-dimensional modelling of benzene transport and biodegradation in a laboratory-scale aquifer,2009
