,AU,SO,copyright,title,year
113,"Diaz-Nieto, J|Lerner, DN|Saul, AJ|Blanksby, J",JOURNAL OF HYDROLOGIC ENGINEERING, (C) 2012 American Society of Civil Engineers.,GIS Water-Balance Approach to Support Surface Water Flood-Risk Management,2012
114,"Cohan, DS|Boylan, JW|Marmur, A|Khan, MN",ENVIRONMENTAL MANAGEMENT,,An integrated framework for multipollutant air quality management and its application in georgia,2007
115,"Sincock, AM|Wheater, HS|Whitehead, PG",JOURNAL OF HYDROLOGY, (C) 2003 Elsevier Science B.V. All rights reserved.,Calibration and sensitivity analysis of a river water quality model under unsteady flow conditions,2003
116,"Ghorbannezhad, P|Azizi, M|Ray, C|Yoo, C|Ramazani, O",ENVIRONMENT PROTECTION ENGINEERING,,APPLICATION OF SENSITIVITY ANALYSIS FOR ASSESSMENT OF ENERGY AND ENVIRONMENTAL ALTERNATIVES IN THE MANUFACTURE BY USING ANALYTIC HIERARCHY PROCESS,2013
117,"Copelli, S|Derudi, M|Cattaneo, CS|Nano, G|Raboni, M|Torretta, V|Rota, R",PROCESS SAFETY AND ENVIRONMENTAL PROTECTION, Published by Elsevier B.V. All rights reserved.,Synthesis of 4-Chloro-3-nitrobenzotrifluoride: Industrial thermal runaway simulation due to cooling system failure,2014
118,"Rodat, S|Abanades, S|Coulie, J|Flamant, G",CHEMICAL ENGINEERING JOURNAL, (c) 2008 Elsevier B.V. All rights reserved.,Kinetic modelling of methane decomposition in a tubular solar reactor,2009
119,"Kumar, D|Rocadenbosch, F",JOURNAL OF APPLIED REMOTE SENSING, (C) 2013 Society of Photo-Optical Instrumentation Engineers (SPIE) [DOI: 10.1117/1.JRS.7.073591],Determination of the overlap factor and its enhancement for medium-size tropospheric lidar systems: a ray-tracing approach,2013
120,"Giraldi, L|Le Maitre, OP|Mandli, KT|Dawson, CN|Hoteit, I|Knio, OM",COMPUTATIONAL GEOSCIENCES,,Bayesian inference of earthquake parameters from buoy data using a polynomial chaos-based surrogate,2017
121,"Ceylan, H",MATHEMATICAL PROBLEMS IN ENGINEERING,,Optimal Design of Signal Controlled Road Networks Using Differential Evolution Optimization Algorithm,2013
122,"Wagener, T|Kollat, J",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Numerical and visual evaluation of hydrological and environmental models using the Monte Carlo analysis toolbox,2007
123,"Wang, RC|Terada, A|Lackner, S|Smets, BF|Henze, M|Xia, SQ|Zhao, JF",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Nitritation performance and biofilm development of co- and counter-diffusion biofilm reactors: Modeling and experimental comparison,2009
124,"Yamwong, W|Achalakul, T",APPLIED SOFT COMPUTING, (C) 2011 Elsevier B.V. All rights reserved.,Yield improvement analysis with parameter-screening factorials,2012
125,"Eldib, H|Wang, C",IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,An SMT Based Method for Optimizing Arithmetic Computations in Embedded Software Code,2014
126,"Wang, KH|Kuo, CC|Pearn, WL",APPLIED MATHEMATICAL MODELLING, (c) 2007 Elsevier Inc. All rights reserved.,A recursive method for the F-policy G/M/1/K queueing system with an exponential startup time,2008
127,"Le Coz, J|Bechon, PM|Camenen, B|Dramais, G",HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,,Quantification of the uncertainties related to velocity-area streamgauging data,2014
128,"Mulungu, DMM|Munishi, SE",PHYSICS AND CHEMISTRY OF THE EARTH, (c) 2007 Published by Elsevier Ltd.,Simiyu River catchment parameterization using SWAT model,2007
129,"Souhar, O|Faure, JB|Paquier, A",ENVIRONMENTAL FLUID MECHANICS,,Automatic sensitivity analysis of a finite volume model for two-dimensional shallow water flows,2007
130,"Landry, H|Lague, C|Roberge, M",COMPUTERS AND ELECTRONICS IN AGRICULTURE, (c) 2005 Elsevier B.V. All rights reserved.,Discrete element representation of manure products,2006
131,"Mandal, K|Banerjee, S|Chakraborty, C",IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,,A New Algorithm for Small-Signal Analysis of DC-DC Converters,2014
132,"Li, QY|Pham, H",APPLIED MATHEMATICAL MODELLING, (C) 2017 Elsevier Inc. All rights reserved.,NHPP software reliability model considering the uncertainty of operating environments with imperfect debugging and testing coverage,2017
133,"Belleri, A|Lollini, R|Dutton, SM",BUILDING AND ENVIRONMENT, Elsevier Ltd. All rights reserved.,Natural ventilation design: An analysis of predicted and measured performance,2014
134,"Chen, CF|Lin, JY|Kang, SF|Lee, YJ|Yang, CH",ENVIRONMENTAL ENGINEERING SCIENCE,,Predicting the Long-Term Performance of a Structural Best Management Practice with the BMP ToolBox Model,2010
135,"Fewtrell, TJ|Bates, PD|Horritt, M|Hunter, NM",HYDROLOGICAL PROCESSES," Copyright (C) 2008 John Wiley & Sons, Ltd.",Evaluating the effect of scale in flood inundation modelling in urban environments,2008
136,"Banar, M|Cokaygil, Z",CLEAN-SOIL AIR WATER,,A Life Cycle Comparison of Alternative Cheese Packages,2009
137,"Puncher, M|Birchall, A",RADIATION PROTECTION DOSIMETRY,,Estimating uncertainty on internal dose assessments,2007
138,"Rafique, R|Fienen, MN|Parkin, TB|Anex, RP",WATER AIR AND SOIL POLLUTION,,Nitrous Oxide Emissions from Cropland: a Procedure for Calibrating the DayCent Biogeochemical Model Using Inverse Modelling,2013
139,"Kanso, A|Tassin, B|Chebbo, G",HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,,Evaluation of urban stormwater quality models,2007
140,"Pieragostini, C|Aguirre, P|Mussati, MC",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2013 Elsevier B.V. All rights reserved.,Life cycle assessment of corn-based ethanol production in Argentina,2014
141,"Pianosi, F|Sarrazin, F|Wagener, T",ENVIRONMENTAL MODELLING & SOFTWARE, Published by Elsevier Ltd.,A Matlab toolbox for Global Sensitivity Analysis,2015
