AU,year,title,journal,citations,DOI link
"Najafi, AR | Safdari, M | Tortorelli, DA | Geubelle, PH",2015,A gradient-based shape optimization scheme using an interface-enriched generalized FEM,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,19,https://dx.doi.org/10.1016/j.cma.2015.07.024
"Srivastava, PK | Han, DW | Rico-Ramirez, MA | O'Neill, P | Islam, T | Gupta, M",2014,Assessment of SMOS soil moisture retrieval parameters using tau-omega algorithms for soil moisture deficit estimation,JOURNAL OF HYDROLOGY,19,https://dx.doi.org/10.1016/j.jhydrol.2014.07.056
"Brunetti, G | Simunek, J | Piro, P",2016,A comprehensive numerical analysis of the hydraulic behavior of a permeable pavement,JOURNAL OF HYDROLOGY,19,https://dx.doi.org/10.1016/j.jhydrol.2016.07.030
"Intaraprasong, T | Zhan, HB",2009,A general framework of stream-aquifer interaction caused by variable stream stages,JOURNAL OF HYDROLOGY,19,https://dx.doi.org/10.1016/j.jhydrol.2009.04.016
"Atieh, M | Taylor, G | Sattar, AMA | Gharabaghi, B",2017,Prediction of flow duration curves for ungauged basins,JOURNAL OF HYDROLOGY,19,https://dx.doi.org/10.1016/j.jhydrol.2016.12.048
"Wei, ZW | Yoshimura, K | Okazaki, A | Kim, W | Liu, ZF | Yokoi, M",2015,Partitioning of evapotranspiration using high-frequency water vapor isotopic measurement over a rice paddy field,WATER RESOURCES RESEARCH,18,https://dx.doi.org/10.1002/2014WR016737
"Manson, SM | Jordan, NR | Nelson, KC | Brummel, RF",2016,Modeling the effect of social networks on adoption of multifunctional agriculture,ENVIRONMENTAL MODELLING & SOFTWARE,18,https://dx.doi.org/10.1016/j.envsoft.2014.09.015
"Landuyt, D | Van der Biest, K | Broekx, S | Staes, J | Meire, P | Goethals, PLM",2015,A GIS plug-in for Bayesian belief networks: Towards a transparent software framework to assess and visualise uncertainties in ecosystem service mapping,ENVIRONMENTAL MODELLING & SOFTWARE,18,https://dx.doi.org/10.1016/j.envsoft.2015.05.002
"Merritt, WS | Croke, BFW | Jakeman, AJ",2005,Sensitivity testing of a model for exploring water resources utilisation and management options,ENVIRONMENTAL MODELLING & SOFTWARE,18,https://dx.doi.org/10.1016/j.envsoft.2004.09.011
"Acharjee, S | Zabaras, N",2006,The continuum sensitivity method for the computational design of three-dimensional deformation processes,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,18,https://dx.doi.org/10.1016/j.cma.2004.05.033
"Schouten, M | Verwaart, T | Heijman, W",2014,Comparing two sensitivity analysis approaches for two scenarios with a spatially explicit rural agent-based model,ENVIRONMENTAL MODELLING & SOFTWARE,18,https://dx.doi.org/10.1016/j.envsoft.2014.01.003
"Marsili-Libelli, S | Giusti, E | Nocita, A",2013,A new instream flow assessment method based on fuzzy habitat suitability and large scale river modelling,ENVIRONMENTAL MODELLING & SOFTWARE,18,https://dx.doi.org/10.1016/j.envsoft.2012.10.005
"Rigosi, A | Marce, R | Escot, C | Rueda, FJ",2011,A calibration strategy for dynamic succession models including several phytoplankton groups,ENVIRONMENTAL MODELLING & SOFTWARE,18,https://dx.doi.org/10.1016/j.envsoft.2011.01.007
"Srinivasan, G | Tartakovsky, DM | Robinson, BA | Aceves, AB",2007,Quantification of uncertainty in geochemical reactions,WATER RESOURCES RESEARCH,18,https://dx.doi.org/10.1029/2007WR006003
"Kolbe, T | Marcais, J | Thomas, Z | Abbott, BW | de Dreuzy, JR | Rousseau-Gueutin, P | Aquilina, L | Labasque, T | Pinay, G",2016,Coupling 3D groundwater modeling with CFC-based age dating to classify local groundwater circulation in an unconfined crystalline aquifer,JOURNAL OF HYDROLOGY,18,https://dx.doi.org/10.1016/j.jhydrol.2016.05.020
"Laudone, GM | Matthews, GP | Bird, NRA | Whalley, WR | Cardenas, LM | Gregory, AS",2011,A model to predict the effects of soil structure on denitrification and N2O emission,JOURNAL OF HYDROLOGY,18,https://dx.doi.org/10.1016/j.jhydrol.2011.08.026
"Cheng, QB | Chen, X | Xu, CY | Reinhardt-Imjela, C | Schulte, A",2014,Improvement and comparison of likelihood functions for model calibration and parameter uncertainty analysis within a Markov chain Monte Carlo scheme,JOURNAL OF HYDROLOGY,18,https://dx.doi.org/10.1016/j.jhydrol.2014.10.008
"Audouin, O | Bodin, J",2008,Cross-borehole slug test analysis in a fractured limestone aquifer,JOURNAL OF HYDROLOGY,18,https://dx.doi.org/10.1016/j.jhydrol.2007.10.021
"Balakrishnan, S | Roy, A | Ierapetritou, MG | Flach, GP | Georgopoulos, PG",2005,A comparative assessment of efficient uncertainty analysis techniques for environmental fate and transport models: application to the FACT model,JOURNAL OF HYDROLOGY,18,https://dx.doi.org/10.1016/j.hydrol.2004.10.010
"Micovic, Z | Schaefer, MG | Taylor, GH",2015,Uncertainty analysis for Probable Maximum Precipitation estimates,JOURNAL OF HYDROLOGY,18,https://dx.doi.org/10.1016/j.jhydrol.2014.12.033
"Almeida, RC | Oden, JT",2010,"Solution verification, goal-oriented adaptive methods for stochastic advection-diffusion problems",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,18,https://dx.doi.org/10.1016/j.cma.2010.04.001
"Cuntz, M | Mai, JL | Zink, M | Thober, S | Kumar, R | Schafer, D | Schron, M | Craven, J | Rakovec, O | Spieler, D | Prykhodko, V | Dalmasso, G | Musuuza, J | Langenberg, B | Attinger, S | Samaniego, L",2015,Computationally inexpensive identification of noninformative model parameters by sequential screening,WATER RESOURCES RESEARCH,18,https://dx.doi.org/10.1002/2015WR016907
"Kamai, T | Tuli, A | Kluitenberg, GJ | Hopmans, JW",2008,Soil water flux density measurements near 1 cm d(-1) using an improved heat pulse probe design,WATER RESOURCES RESEARCH,18,https://dx.doi.org/10.1029/2008WR007036
"Narayan, U | Lakshmi, V",2008,Characterizing subpixel variability of low resolution radiometer derived soil moisture using high resolution radar data,WATER RESOURCES RESEARCH,18,https://dx.doi.org/10.1029/2006WR005817
"Jensen, HA | Mayorga, F | Papadimitriou, C",2015,Reliability sensitivity analysis of stochastic finite element models,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,18,https://dx.doi.org/10.1016/j.cma.2015.08.007
"Li, H | Li, PG | Gao, L | Zhang, L | Wu, T",2015,A level set method for topological shape optimization of 3D structures with extrusion constraints,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,18,https://dx.doi.org/10.1016/j.cma.2014.10.006
"Foo, J | Yosibash, Z | Karmadakis, GE",2007,Stochastic simulation of riser-sections with uncertain measured pressure loads and/or uncertain material properties,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,18,https://dx.doi.org/10.1016/j.cma.2007.04.005
"Bishop, JE | Emery, JM | Field, RV | Weinberger, CR | Littlewood, DJ",2015,Direct numerical simulations in solid mechanics for understanding the macroscale effects of microscale material variability,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,18,https://dx.doi.org/10.1016/j.cma.2015.01.017
"Arabi, M | Govindaraju, RS | Engel, B | Hantush, M",2007,Multiobjective sensitivity analysis of sediment and nitrogen processes with a watershed model,WATER RESOURCES RESEARCH,18,https://dx.doi.org/10.1029/2006WR005463
"Zhang, XD | Huang, HZ | Xu, HW",2010,Multidisciplinary design optimization with discrete and continuous variables of various uncertainties,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,18,https://dx.doi.org/10.1007/s00158-010-0513-y
"Liu, ST | Cheng, GD | Gu, Y | Zheng, XG",2002,Mapping method for sensitivity analysis of composite material property,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,18,https://dx.doi.org/10.1007/s00158-002-0237-8
"Jurado, JA | Hernandez, S",2004,Sensitivity analysis of bridge flutter with respect to mechanical parameters of the deck,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,18,https://dx.doi.org/10.1007/s00158-003-0374-8
"Raulli, M | Maute, K",2005,Topology optimization of electrostatically actuated microsystems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,18,https://dx.doi.org/10.1007/s00158-005-0531-3
"Zhang, XP | Kang, Z | Li, M",2014,Topology optimization of electrode coverage of piezoelectric thin-walled structures with CGVF control for minimizing sound radiation,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,18,https://dx.doi.org/10.1007/s00158-014-1082-2
"Tsai, FTC | Elshall, AS",2013,Hierarchical Bayesian model averaging for hydrostratigraphic modeling: Uncertainty segregation and comparative evaluation,WATER RESOURCES RESEARCH,18,https://dx.doi.org/10.1002/wrcr.20428
"Moore, C | Wohling, T | Doherty, J",2010,Efficient regularization and uncertainty analysis using a global optimization methodology,WATER RESOURCES RESEARCH,18,https://dx.doi.org/10.1029/2009WR008627
"Naranjo, RC | Niswonger, RG | Stone, M | Davis, C | Mckay, A",2012,The use of multiobjective calibration and regional sensitivity analysis in simulating hyporheic exchange,WATER RESOURCES RESEARCH,18,https://dx.doi.org/10.1029/2011WR011179
"Intaraprasong, T | Zhan, HB",2007,Capture zone between two streams,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrol.2007.03.005
"Reddy, RM | Rao, BN",2008,Stochastic fracture mechanics by fractal finite element method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,https://dx.doi.org/10.1016/j.cma.2008.08.014
"Larsbo, M | Jarvis, N",2006,Information content of measurements from tracer microlysimeter experiments designed for parameter identification in dual-permeability models,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrol.2005.10.020
"Milani, R | Quarteroni, A | Rozza, G",2008,Reduced basis method for linear elasticity problems with many parameters,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,https://dx.doi.org/10.1016/j.cma.2008.07.002
"Barcelos, M | Bavestrello, H | Maute, K",2006,A Schur-Newton-Krylov solver for steady-state aeroelastic analysis and design sensitivity analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,https://dx.doi.org/10.1016/j.cma.2004.09.013
"Hadigol, M | Doostan, A | Matthies, HG | Niekamp, R",2014,Partitioned treatment of uncertainty in coupled domain problems: A separated representation approach,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,https://dx.doi.org/10.1016/j.cma.2014.02.004
"Zhang, ZQ | Zhou, JX | Zhou, N | Wang, XM | Zhang, L",2005,Shape optimization using reproducing kernel particle method and an enriched genetic algorithm,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,https://dx.doi.org/10.1016/j.cma.2004.10.004
"Nakshatrala, PB | Tortorelli, DA",2015,Topology optimization for effective energy propagation in rate-independent elastoplastic material systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,https://dx.doi.org/10.1016/j.cma.2015.05.004
"Gazendam, E | Gharabaghi, B | Ackerman, JD | Whiteley, H",2016,Integrative neural networks models for stream assessment in restoration projects,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrol.2016.02.057
"Xia, L | Zhu, JH | Zhang, WH",2012,Sensitivity analysis with the modified Heaviside function for the optimal layout design of multi-component systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,https://dx.doi.org/10.1016/j.cma.2012.06.005
"Ahmadisharaf, E | Kalyanapu, AJ | Chung, ES",2016,Spatial probabilistic multi-criteria decision making for assessment of flood management alternatives,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrol.2015.12.031
"Roux, H | Dartus, D",2006,Use of parameter optimization to estimate a flood wave: Potential applications to remote sensing of rivers,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrol.2005.12.025
"Slooten, LJ | Carrera, J | Castro, E | Fernandez-Garcia, D",2010,A sensitivity analysis of tide-induced head fluctuations in coastal aquifers,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrol.2010.08.032
"Zeng, XK | Ye, M | Burkardt, J | Wu, JC | Wang, D | Zhu, XB",2016,Evaluating two sparse grid surrogates and two adaptation criteria for groundwater Bayesian uncertainty quantification,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrol.2016.01.058
"van Walsum, PEV | Veldhuizen, AA",2011,Integration of models using shared state variables: Implementation in the regional hydrologic modelling system SIMGRO,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrol.2011.08.036
"Svenson, E | Schweisinger, T | Murdoch, LC",2007,Analysis of the hydromechanical behavior of a flat-lying fracture during a slug test,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrot.2007.08.020
"Kunnath-Poovakka, A | Ryu, D | Renzullo, LJ | George, B",2016,The efficacy of calibrating hydrologic model using remotely sensed evapotranspiration and soil moisture for streamflow prediction,JOURNAL OF HYDROLOGY,17,https://dx.doi.org/10.1016/j.jhydrol.2016.02.018
"Chevreuil, M | Nouy, A | Safatly, E",2013,A multiscale method with patch for the solution of stochastic partial differential equations with localized uncertainties,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,https://dx.doi.org/10.1016/j.cma.2012.12.003
"Neto, B | Kroeze, C | Hordijk, L | Costa, C",2008,Modelling the environmental impact of an aluminium pressure die casting plant and options for control,ENVIRONMENTAL MODELLING & SOFTWARE,17,https://dx.doi.org/10.1016/j.envsoft.2007.05.005
"Guillas, S | Glover, N | Malki-Epshtein, L",2014,Bayesian calibration of the constants of the k-epsilon turbulence model for a CFD model of street canyon flow,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,https://dx.doi.org/10.1016/j.cma.2014.06.008
"Park, KS | Youn, SK",2008,Topology optimization of shell structures using adaptive inner-front (AIF) level set method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,17,https://dx.doi.org/10.1007/s00158-007-0169-4
"Mendoza, PA | McPhee, J | Vargas, X",2012,Uncertainty in flood forecasting: A distributed modeling approach in a sparse data catchment,WATER RESOURCES RESEARCH,17,https://dx.doi.org/10.1029/2011WR011089
"Xu, TF | Valocchi, AJ",2015,A Bayesian approach to improved calibration and prediction of groundwater models with structural error,WATER RESOURCES RESEARCH,17,https://dx.doi.org/10.1002/2015WR017912
"Kitanidis, PK | Lee, J",2014,Principal Component Geostatistical Approach for large-dimensional inverse problems,WATER RESOURCES RESEARCH,17,https://dx.doi.org/10.1002/2013WR014630
"Kennedy, GJ | Martins, JRRA",2014,A parallel aerostructural optimization framework for aircraft design studies,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,17,https://dx.doi.org/10.1007/s00158-014-1108-9
"Coffin, P | Maute, K",2016,A level-set method for steady-state and transient natural convection problems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,17,https://dx.doi.org/10.1007/s00158-015-1377-y
"Ceranic, B | Fryer, C",2000,Sensitivity analysis and optimum design curves for the minimum cost design of singly and doubly reinforced concrete beams,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,17,https://dx.doi.org/10.1007/s001580050156
"Xiong, FF | Chen, W | Xiong, Y | Yang, SX",2011,Weighted stochastic response surface method considering sample weights,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,17,https://dx.doi.org/10.1007/s00158-011-0621-3
"Gjetvaj, F | Russian, A | Gouze, P | Dentz, M",2015,Dual control of flow field heterogeneity and immobile porosity on non-Fickian transport in Berea sandstone,WATER RESOURCES RESEARCH,17,https://dx.doi.org/10.1002/2015WR017645
"Ferreira, I | de Weck, O | Saraiva, P | Cabral, J",2010,Multidisciplinary optimization of injection molding systems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,17,https://dx.doi.org/10.1007/s00158-009-0435-8
"Chen, L | Zhong, YC | Wei, GY | Cai, YP | Shen, ZY",2014,Development of an integrated modeling approach for identifying multilevel non-point-source priority management areas at the watershed scale,WATER RESOURCES RESEARCH,17,https://dx.doi.org/10.1002/2013WR015041
"Luo, YJ | Kang, Z",2013,Layout design of reinforced concrete structures using two-material topology optimization with Drucker-Prager yield constraints,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,17,https://dx.doi.org/10.1007/s00158-012-0809-1
"Sami, M | Shiekhdavoodi, MJ | Pazhohanniya, M | Pazhohanniya, F",2014,"Environmental comprehensive assessment of agricultural systems at the, farm level using fuzzy logic: A case study in cane farms in Iran",ENVIRONMENTAL MODELLING & SOFTWARE,17,https://dx.doi.org/10.1016/j.envsoft.2014.02.014
"Stella, T | Frasso, N | Negrini, G | Bregaglio, S | Cappelli, G | Acutis, M | Confalonieri, R",2014,"Model simplification and development via reuse, sensitivity analysis and composition: A case study in crop modelling",ENVIRONMENTAL MODELLING & SOFTWARE,17,https://dx.doi.org/10.1016/j.envsoft.2014.05.007
"Miao, ZW | Lathrop, RG | Xu, M | La Puma, IP | Clark, KL | Hom, J | Skowronski, N | Van Tuyl, S",2011,Simulation and sensitivity analysis of carbon storage and fluxes in the New Jersey Pine lands,ENVIRONMENTAL MODELLING & SOFTWARE,17,https://dx.doi.org/10.1016/j.envsoft.2011.03.004
"Jeremiah, E | Sisson, SA | Sharma, A | Marshall, L",2012,Efficient hydrological model parameter optimization with Sequential Monte Carlo sampling,ENVIRONMENTAL MODELLING & SOFTWARE,17,https://dx.doi.org/10.1016/j.envsoft.2012.07.001
"Abily, M | Bertrand, N | Delestre, O | Gourbesville, P | Duluc, CM",2016,Spatial Global Sensitivity Analysis of High Resolution classified topographic data use in 2D urban flood modelling,ENVIRONMENTAL MODELLING & SOFTWARE,17,https://dx.doi.org/10.1016/j.envsoft.2015.12.002
"Nguyen, TG | de Kok, JL",2007,Systematic testing of an integrated systems model for coastal zone management using sensitivity and uncertainty analyses,ENVIRONMENTAL MODELLING & SOFTWARE,17,https://dx.doi.org/10.1016/j.envsoft.2006.08.008
"Yu, CQ | Li, CS | Xin, QC | Chen, H | Zhang, J | Zhang, F | Li, XC | Clinton, N | Huang, X | Yue, YL | Gong, P",2014,Dynamic assessment of the impact of drought on agricultural yield and scale-dependent return periods over large geographic regions,ENVIRONMENTAL MODELLING & SOFTWARE,17,https://dx.doi.org/10.1016/j.envsoft.2014.08.004
"Lerat, J | Perrin, C | Andreassian, V | Loumagne, C | Ribstein, P",2012,Towards robust methods to couple lumped rainfall-runoff models and hydraulic models: A sensitivity analysis on the Illinois River,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/j.jhydrol.2009.09.019
"McKnight, US | Finkel, M",2013,A system dynamics model for the screening-level long-term assessment of human health risks at contaminated sites,ENVIRONMENTAL MODELLING & SOFTWARE,16,https://dx.doi.org/10.1016/j.envsoft.2012.07.007
"Bilotta, G | Cappello, A | Herault, A | Vicari, A | Russo, G | Del Negro, C",2012,Sensitivity analysis of the MAGFLOW Cellular Automaton model for lava flow simulation,ENVIRONMENTAL MODELLING & SOFTWARE,16,https://dx.doi.org/10.1016/j.envsoft.2012.02.015
"Morse, BS | Pohll, G | Huntington, J | Castillo, RR",2003,Stochastic capture zone analysis of an arsenic-contaminated well using the generalized likelihood uncertainty estimator (GLUE) methodology,WATER RESOURCES RESEARCH,16,https://dx.doi.org/10.1029/2002WR001470
"Balin, D | Lee, H | Rode, M",2010,Is point uncertain rainfall likely to have a great impact on distributed complex hydrological modeling?,WATER RESOURCES RESEARCH,16,https://dx.doi.org/10.1029/2009WR007848
"Noh, SJ | Rakovec, O | Weerts, AH | Tachikawa, Y",2014,On noise specification in data assimilation schemes for improved flood forecasting using distributed hydrological models,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/j.jhydrol.2014.07.049
"Ahmed, F | Gulliver, JS | Nieber, JL",2015,Field infiltration measurements in grassed roadside drainage ditches: Spatial and temporal variability,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/j.jhydrol.2015.10.012
"Rafieeinasab, A | Seo, DJ | Lee, H | Kim, S",2014,Comparative evaluation of maximum likelihood ensemble filter and ensemble Kalman filter for real-time assimilation of streamflow data into operational hydrologic models,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/j.jhydrol.2014.06.052
"Cheng, X | He, L | Lu, HW | Chen, YZ | Ren, LX",2016,Optimal water resources management and system benefit for the Marcellus shale-gas reservoir in Pennsylvania and West Virginia,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/j.jhydrol.2016.06.041
"McElwee, CD",2002,Improving the analysis of slug tests,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/S0022-1694(02)00214-7
"Pisoni, E | Carnevale, C | Volta, M",2010,Sensitivity to spatial resolution of modeling systems designing air quality control policies,ENVIRONMENTAL MODELLING & SOFTWARE,16,https://dx.doi.org/10.1016/j.envsoft.2009.07.009
"Wang, S | Huang, GH | Baetz, BW | Huang, W",2015,A polynomial chaos ensemble hydrologic prediction system for efficient parameter inference and robust uncertainty assessment,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/j.jhydrol.2015.10.021
"Malaguerra, F | Albrechtsen, HJ | Binning, PJ",2013,Assessment of the contamination of drinking water supply wells by pesticides from surface water resources using a finite element reactive transport model and global sensitivity analysis techniques,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/j.jhydrol.2012.11.010
"Obregon, N | Sivakumar, B | Puente, CE",2002,A deterministic geometric representation of temporal rainfall: sensitivity analysis for a storm in Boston,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/S0022-1694(02)00282-2
"Villagarcia, L | Were, A | Domingo, F | Garcia, M | Alados-Arbotedas, L",2007,Estimation of soil boundary-layer resistance in sparse semiarid stands for evapotranspiration modelling,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/j.jhydrol.2007.05.023
"Marin, CT | Bouten, IW | Dekker, S",2000,Forest floor water dynamics and root water uptake in four forest ecosystems in northwest Amazonia,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/S0022-1694(00)00302-4
"Kaheil, YH | Gill, MK | McKee, M | Bastidas, L",2006,A new Bayesian recursive technique for parameter estimation,WATER RESOURCES RESEARCH,16,https://dx.doi.org/10.1029/2005WR004529
"Fan, YR | Huang, GH | Baetz, BW | Li, YP | Huang, K",2017,Development of a copula-based particle filter (CopPF) approach for hydrologic data assimilation under consideration of parameter interdependence,WATER RESOURCES RESEARCH,16,https://dx.doi.org/10.1002/2016WR020144
"Sun, SA | Bertrand-Krajewski, JL",2013,Separately accounting for uncertainties in rainfall and runoff: Calibration of event-based conceptual hydrological models in small urban catchments using Bayesian method,WATER RESOURCES RESEARCH,16,https://dx.doi.org/10.1002/wrcr.20444
"Gupta, A | Cvetkovic, V",2002,Material transport from different sources in a network of streams through a catchment,WATER RESOURCES RESEARCH,16,https://dx.doi.org/10.1029/2000WR000064
"Vogt, C | Marquart, G | Kosack, C | Wolf, A | Clauser, C",2012,Estimating the permeability distribution and its uncertainty at the EGS demonstration reservoir Soultz-sous-Forets using the ensemble Kalman filter,WATER RESOURCES RESEARCH,16,https://dx.doi.org/10.1029/2011WR011673
"Alfonso, L | Mukolwe, MM | Di Baldassarre, G",2016,Probabilistic Flood Maps to support decision-making: Mapping the Value of Information,WATER RESOURCES RESEARCH,16,https://dx.doi.org/10.1002/2015WR017378
"Yoon, H | Hyun, Y | Lee, KK",2007,Forecasting solute breakthrough curves through the unsaturated zone using artificial neural networks,JOURNAL OF HYDROLOGY,16,https://dx.doi.org/10.1016/j.jhydrol.2006.11.001
"Pechlivanidis, IG | Jackson, B | McMillan, H | Gupta, H",2014,Use of an entropy-based metric in multiobjective calibration to improve model performance,WATER RESOURCES RESEARCH,16,https://dx.doi.org/10.1002/2013WR014537
"Yang, RZ | Du, JB",2013,Microstructural topology optimization with respect to sound power radiation,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,16,https://dx.doi.org/10.1007/s00158-012-0838-9
"Heider, P | Berebichez, D | Kohn, RV | Weinstein, MI",2008,Optimization of scattering resonances,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,16,https://dx.doi.org/10.1007/s00158-007-0201-8
"Zhao, JP | Wang, CJ",2016,Dynamic response topology optimization in the time domain using model reduction method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,16,https://dx.doi.org/10.1007/s00158-015-1328-7
"Kato, J | Hoshiba, H | Takase, S | Terada, K | Kyoya, T",2015,Analytical sensitivity in topology optimization for elastoplastic composites,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,16,https://dx.doi.org/10.1007/s00158-015-1246-8
"Probst, M | Lulfesmann, M | Nicolai, M | Bucker, HM | Behr, M | Bischof, CH",2010,Sensitivity of optimal shapes of artificial grafts with respect to flow parameters,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,16,https://dx.doi.org/10.1016/j.cma.2009.11.013
"Choi, KK | Duan, W",2000,Design sensitivity analysis and shape optimization of structural components with hyperelastic material,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,16,https://dx.doi.org/10.1016/S0045-7825(99)00121-8
"Hojjat, M | Stavropoulou, E | Bletzinger, KU",2014,The Vertex Morphing method for node-based shape optimization,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,16,https://dx.doi.org/10.1016/j.cma.2013.10.015
"Keshavarzzadeh, V | Meidani, H | Tortorelli, DA",2016,Gradient based design optimization under uncertainty via stochastic expansion methods,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,16,https://dx.doi.org/10.1016/j.cma.2016.03.046
"Chen, LL | Zheng, CJ | Chen, HB",2014,FEM/wideband FMBEM coupling for structural-acoustic design sensitivity analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,16,https://dx.doi.org/10.1016/j.cma.2014.03.016
"Lin, G | Su, CH | Karniadakis, GE",2008,Stochastic modeling of random roughness in shock scattering problems: Theory and simulations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,16,https://dx.doi.org/10.1016/j.cma.2008.02.025
"Kegl, M | Brank, B",2006,Shape optimization of truss-stiffened shell structures with variable thickness,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,15,https://dx.doi.org/10.1016/j.cma.2005.05.020
"Koo, B | Yoon, M | Cho, S",2013,Isogeometric shape design sensitivity analysis using transformed basis functions for Kronecker delta property,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,15,https://dx.doi.org/10.1016/j.cma.2012.08.014
"Luo, YJ | Wang, MY | Kang, Z",2015,Topology optimization of geometrically nonlinear structures based on an additive hyperelasticity technique,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,15,https://dx.doi.org/10.1016/j.cma.2014.12.023
"Bezak, N | Sraj, M | Mikos, M",2016,Copula-based IDF curves and empirical rainfall thresholds for flash floods and rainfall-induced landslides,JOURNAL OF HYDROLOGY,15,https://dx.doi.org/10.1016/j.jhydrol.2016.02.058
"Mohan, PS | Nair, PB | Keane, AJ",2008,Multi-element stochastic reduced basis methods,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,15,https://dx.doi.org/10.1016/j.cma.2007.11.021
"Wang, ZP | Poh, LH | Dirrenberger, J | Zhu, YL | Forest, S",2017,Isogeometric shape optimization of smoothed petal auxetic structures via computational periodic homogenization,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,15,https://dx.doi.org/10.1016/j.cma.2017.05.013
"Skahill, BE | Baggett, JS | Frankenstein, S | Downer, CW",2009,More efficient PEST compatible model independent model calibration,ENVIRONMENTAL MODELLING & SOFTWARE,15,https://dx.doi.org/10.1016/j.envsoft.2008.09.011
"Saint-Geours, N | Bailly, JS | Grelot, F | Lavergne, C",2014,Multi-scale spatial sensitivity analysis of a model for economic appraisal of flood risk management policies,ENVIRONMENTAL MODELLING & SOFTWARE,15,https://dx.doi.org/10.1016/j.envsoft.2014.06.012
