AU,year,title,journal,citations,DOI link
"Isazadeh, S | Rivas, LEU | Ozcer, PO | Frigon, D",2015,Reduction of waste biosolids by RAS-ozonation: Model validation and sensitivity analysis for biosolids reduction and nitrification,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2014.11.009
"Wang, XJ | Wang, RX | Chen, XJ | Wang, L | Geng, XY | Fan, WC",2017,Interval prediction of responses for uncertain multidisciplinary system,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-016-1601-4
"Liu, YR | Li, YP | Huang, GH | Zhang, JL | Fan, YR",2017,A Bayesian-based multilevel factorial analysis method for analyzing parameter uncertainty of hydrological model,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2017.08.048
"Ha, YD | Kim, MG | Kim, HS | Cho, S",2011,Shape design optimization of SPH fluid-structure interactions considering geometrically exact interfaces,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-011-0645-8
"Song, HY | Yu, KP | Li, XY | Han, JY",2017,Error estimation of load identification based on linear sensitivity analysis and interval technique,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-016-1500-8
"Lambe, AB | Martins, JRRA",2016,Matrix-free aerostructural optimization of aircraft wings,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-015-1349-2
"Pedersen, P | Pedersen, NL",2014,A note on eigenfrequency sensitivities and structural eigenfrequency optimization based on local sub-domain frequencies,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-013-1014-6
"Houle, ES | Livneh, B | Kasprzyk, JR",2017,Exploring snow model parameter sensitivity using Sobol' variance decomposition,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2016.11.024
"Negrao, JHO | Simoes, LMC",2004,Reliability-based optimum design of cable-stayed bridges,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-004-0408-x
"Mundstock, DC | Marczak, RJ",2009,Boundary element sensitivity evaluation for elasticity problems using complex variable method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-008-0283-y
"Pugachev, AO",2013,"Application of gradient-based optimization methods for a rotor system with static stress, natural frequency,and harmonic response constraints",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-012-0867-4
"Li, N | McLaughlin, D | Kinzelbach, W | Li, WP | Dong, XG",2015,Using an ensemble smoother to evaluate parameter uncertainty of an integrated hydrological model of Yanqi basin,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2015.07.024
